"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4277720057","linkedin","https://www.linkedin.com/jobs/view/4277720057","","Data Analyst","IFRS Foundation","London Area, United Kingdom","2025-08-04","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/ifrs-foundation","","","","","","","","","","","",""
"li-4277571782","linkedin","https://www.linkedin.com/jobs/view/4277571782","","Insights Analyst","AstraZeneca","City Of London, England, UK","2025-08-01","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/astrazeneca","","","","","","","","","","","",""
"li-4277581023","linkedin","https://www.linkedin.com/jobs/view/4277581023","","Data Analyst","CereCore","England, United Kingdom","2025-08-01","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cerecore-tech","","","","","","","","","","","",""
"li-4279014230","linkedin","https://www.linkedin.com/jobs/view/4279014230","","Data Analyst","Aspect","London Area, United Kingdom","2025-08-01","fulltime","","","","","",False,"entry level","Information Technology","","","At
 **Aspect** 
 , we’re entering an exciting phase of growth. With over 15 years in the industry, thousands of customers served every month, and a reputation for 24/7 reliability, we’re scaling rapidly, and we know that smart, curious analysts will be key to our continued success.
 



  





 We’re looking for a
 **Data Analyst** 
 who’s ready to dive into real business challenges, support our teams with actionable insights, and grow their skills in a fast\\-paced, data\\-driven environment. You’ll work closely with experienced analysts, operators, and decision\\-makers, helping us improve efficiency, understand our customers, and unlock new growth opportunities.
 



  





 🔍 What You’ll Do:
 


* Analyze data from across the business to identify trends, uncover insights, and support day\\-to\\-day decision\\-making.
* Build and maintain reports and dashboards that track key performance metrics in areas like customer acquisition, retention, and operations.
* Assist with A/B tests, customer cohort analyses, and operational efficiency studies.
* Partner with teams across Product, Marketing, and Operations to support their data needs.
* Help improve data quality and accuracy across systems and processes.
* Learn and grow alongside a team that values curiosity, experimentation, and continuous improvement.



  





 ✅ What We’re Looking For:
 


* A degree in Data Science, Business Analytics, Statistics, Computer Science, Economics, or a related field.
* Solid understanding of SQL and Excel; familiarity with Python, R, or similar tools is a plus.
* Exposure to data visualization tools like Tableau, Power BI, or Looker (coursework, internships, or self\\-study welcome).
* Strong analytical mindset with attention to detail and a love for solving problems.
* Clear communication skills, you’re comfortable translating numbers into insights people can act on.
* Eagerness to learn, collaborate, and grow in a dynamic, fast\\-moving environment.
* Bonus: Interest in field services, logistics, or property maintenance.



  





 💡 Why Join Aspect?
 


* Be part of a company that’s growing fast—and bringing its people along for the ride.
* Get hands\\-on experience solving real business problems with data.
* Work with a supportive, experienced team that values mentorship and growth.
* Competitive compensation, benefits, and long\\-term opportunities.



  





 Apply now or reach out to learn more. Let’s grow together.","Facilities Services","https://uk.linkedin.com/company/aspect-maintenance-ltd","https://media.licdn.com/dms/image/v2/D4D0BAQE1UrqWjKrDBQ/company-logo_100_100/company-logo_100_100/0/1720603647515/aspect_maintenance_ltd_logo?e=2147483647&v=beta&t=j3Y-FE9oeaH-5-bgCe1VJPJoccqu5UJxJ3Ievy5UqNw","","","","","","","","","","",""
"li-4221294140","linkedin","https://www.linkedin.com/jobs/view/4221294140","","Data Analyst, Reporting & Operations","Publicis Groupe UK","London, England, UK","2025-07-28","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/publicisgroupeuk","","","","","","","","","","","",""
"li-4274753801","linkedin","https://www.linkedin.com/jobs/view/4274753801","","Junior Data Analyst","Intellect Group","London Area, United Kingdom","2025-07-23","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/intellectgroup","","","","","","","","","","","",""
"li-4271338490","linkedin","https://www.linkedin.com/jobs/view/4271338490","","Data Analyst","YunoJuno","London Area, United Kingdom","2025-07-23","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/yunojuno","","","","","","","","","","","",""
"li-4266954996","linkedin","https://www.linkedin.com/jobs/view/4266954996","","Data Analyst","Martello Talent","","2025-07-17","fulltime","","","","","",True,"mid-senior level","Analyst","","","**Senior Data Analyst (Fully Remote)** 




 We’re looking for a
 **Senior Data Analyst** 
 to play a key role in driving strategic insights and evolving our data environment. This
 **fully remote** 
 position offers the opportunity to collaborate across departments, supporting both day\\-to\\-day operations and broader strategic initiatives—especially as we modernise systems and strengthen our reporting capabilities.
 



 Our current data stack includes SQL Server and Power BI, with complex data models and pipelines. Projects will span business intelligence, data science, and advanced analytics. If you’re someone who can quickly get to grips with existing systems, understand data logic, and communicate insights clearly, this role could be a great fit.
 



**Key Responsibilities** 



* Partner with stakeholders to identify analytical needs and deliver clear, actionable insights.
* Collaborate across teams to uncover growth opportunities and provide statistical and business analysis.
* Design, develop, and maintain data models, dashboards, and reports using SQL Server and Power BI.
* Support the development of a modern data strategy, including system upgrades and migrations.
* Help standardise metrics, documentation, and reporting logic across the organisation.



**What You’ll Bring** 



* Advanced SQL skills, with hands\\-on experience working in SQL Server environments.
* Strong ownership mindset and a proactive, solutions\\-focused approach.
* Proven experience designing and maintaining Power BI dashboards and data models.
* Ability to work with complex datasets and apply business logic to analytical outputs.
* Excellent communication skills—you can clearly explain data insights to technical and non\\-technical audiences.
* Solid grounding in statistics, exploratory data analysis, and predictive modelling.
* Bonus: Experience with ERP systems or large\\-scale data migrations.
* Bonus: Background in e\\-commerce or service\\-oriented operations.","Technology, Information and Media","https://uk.linkedin.com/company/martellotalent","https://media.licdn.com/dms/image/v2/D4E0BAQHKLiwjpFPCIA/company-logo_100_100/B4EZaftYNlGYAQ-/0/1746436195878/martellotalent_logo?e=2147483647&v=beta&t=jQVM5D5EkSjQ11lNC6MR4Ah4ixQ6keCuH_Y5-_mtF48","","","","","","","","","","",""
"li-4278919469","linkedin","https://www.linkedin.com/jobs/view/4278919469","","Data Analyst","Bionic","London, England, UK","2025-07-15","fulltime","","","","","",False,"entry level","Analyst","","","**About Bionic:**
 Bionic is a tech\\-enabled business switching service. We empower small business owners with a radically better way for them to sort their business essentials through smart technology.    
 



 We're currently looking for a
 **Data Analyst** 
 to join us in a fast\\-paced environment where innovative ideas and projects come to life.  
 



**About the Role:**




 Do you take satisfaction in seeing your recommendations implemented in the real world? Are you analytically creative and motivated by new challenges? Do you have a passion for working with data to drive insight and improve customer understanding? 
 



 At Bionic, data is core to our business and strategy, and this role is part of a team that is critical to delivering on this goal.   
 



 This role will build on the firm data and reporting architecture to bring insight, clarity and simplicity to what can be a complex business, ultimately making things simple for our customers.  As such you will leverage best in class analytics and data tools. 
 



 You will have access to a wealth of data from a multitude of sources and will be translating analysis into commercially actionable insight and recommendations in a fast\\-paced environment.  The role will involve working on best practice statistical and analytical techniques to not only discover but also to test and measure impact of key strategic initiatives. 
 



 You will be an important member of the Analytics team, with opportunities to interact cross functionally with Marketing, IT, Digital, Product, Commercial and Finance teams. 
 



 Ultimately, this would be a great role for a
 **Junior Analyst who is looking to take the next step t** 
 o developing their skills in a fast growing Tech company. 
   

  





**Day\\-to\\-Day:**



* Be a key member a small team of technical analysts, responsible for delivering business critical analysis and insight


* Be hands on in the coding of Bionic data to deliver analytical solutions to business problems and opportunities


* Be creative in supporting the development of analytical solutions to drive proven business value


* Able to work in a fast\\-paced environment, having the confidence to voice your thoughts and opinions


* *Implementing rigorous testing and measurement:* 
 working on testing and measurement across products and functions, implementing methodologies to serve highly iterative and fast paced roadmap.


* *Communicate analysis to drive engagement:* 
 Share analytical results in a commercial and compelling manner, with ability to visualise insights in a clear and concise format


* *Keep up to date with new and emerging technologies:* 
 best in class techniques and application to real business problems


* *Learn and help share knowledge to grow capability of the team and Bionic:* 
 ensure that learnings are shared within the team and the business to drive a data driven culture.  Actively participate in trainings, documentation of learnings and data/analytics sharing sessions



**Essential Skills and Experience:**



* Confident User of SQL and Python


* Experience analysing large and complex datasets \\- Cloud\\-based data platforms preferred


* Understanding of statistical and data science techniques (e.g. forecasting, regression, clustering etc) to deliver business projects


* Experience in Data Visualisation (Tableau (preferred), Power BI, Looker)


* Degree level or higher in a numerate subject (e.g. Maths, Statistics, Economics, Operational Research or Computer Science)


* 1\\-2 years' experience in a data analyst or similar role, preferably in a fast\\-paced commercial or digital environment.



**Who We're Looking For:**



* A commercially driven analyst for a Data and Analytics team passionate about driving business growth
* Ability to demonstrate an analytical ‘curiosity' through innovative, data driven insights about business questions


* Ability to explore business impact and position analysis to deliver commercial value


* A self\\-starter that is curious and keen to learn new approaches and techniques as well as demonstrate innovation in approach


* A keen sharer of information with the ability to translate analysis into insight and support delivery of compelling commercial recommendations
* Curious, proactive, ambitious, storyteller, loves solving complex problems and excited to help others and share the success, team player
* Experience working in cross\\-functional teams (with product, commercial, marketing and IT) is preferrable
* It would be highly desirable if you had experience within one of the following: Digital, B2B, Retail and Customer Data
  



**Interview process**



* Initial conversation with one of our Talent Acquisition Team


* 1st stage Teams interview with the hiring manager and a colleague from the Data Analytics team


* 2nd stage in\\-person case study\\-based interview



**About the Bionic Group**




 Bionic has over 600 colleagues working across three office locations and four businesses; Bionic \\- London (HQ), Bionic Outbound \\- Luton, Think Business Loans \\- Chelmsford, and Smart \\-our Field based agents. 
 



 Working at Bionic means provides you many opportunities to advance your career, with incredible progression, recognition, and reward. 
 



**Benefits** 
   
 



 Enhance your health \\& wellbeing 🌱 
 


* Private healthcare cover


* Employee Assistance Programme, including a virtual GP service, priority physio \\& talking therapies


* Eyecare scheme



 Taking time away from work 🏖️ 
 


* 25 days annual leave plus the 8 UK bank holidays, increasing with tenure


* 1 paid family/religious day of leave per year \\- following successful probation period


* 1 paid charity volunteering day per year


* Option to buy/sell up to an additional 3 days leave per year



 Family matters: for the special moments 🏠 
 


* Enhanced maternity, paternity or shared parental leave


* 2 days off for your wedding upon joining, and up to 5 days after 2 years' service


* Flexible working options \\& a hybrid work approach



 Financial wellbeing 💸 
 


* Auto\\-enrolled salary sacrifice pension scheme


* Life assurance


* Season ticket Loans, salary advances \\& loans to buy/rent a home \\- based on tenure


* Cycle to work scheme



 Recognition 🌟 
 


* Highflyers incentive, a VIP experience for our high performers across Bionic group to celebrate success


* Company summer \\& Christmas party celebrations, business and local zonely \\& annual awards and recognition


* Long service awards","Technology, Information and Internet","https://uk.linkedin.com/company/bionicbusiness","https://media.licdn.com/dms/image/v2/C4D0BAQHyCNEaeARp6w/company-logo_100_100/company-logo_100_100/0/1641812925036/bionicbusiness_logo?e=2147483647&v=beta&t=zubaJh_IwU5mOBdCnGrx4JJVFZnnRG19h43U8jc3Y1k","","","","","","","","","","",""
"li-4278235184","linkedin","https://www.linkedin.com/jobs/view/4278235184","","Data Analyst","Data Idols","London, England, UK","","fulltime","","","","","",False,"entry level","Information Technology","","","Data Analyst
   

  

  

  

 Salary: £70K \\- £80K
   

  

  

  

 Location: London \\- Flexible working
   

  


 Data Idols are working with a fast\\-growing, product\\-led tech company to hire a Data Analyst to join their growing team. This is a key role in the team and this person will directly impact their customers.
   

  




 The Opportunity
   

  


 The team this person is joining is playing a key role in the companies data journey. You will directly impact the customers by supporting the business with insights and self serve data tools. You'll be part of a company that takes data seriously, where your work has direct impact on product quality, decision making, and customer outcomes.
   

  




 Skills and Experience
   

  

* Strong experience working with Looker
* SQL
* Python
* dbt knowledge



 If you are looking for a new challenge, then please submit your CV for initial screening and more details.
   

  




 Data Analyst
   

  

  

**Desired Skills and Experience**
 Looker\\|SQL\\|dbt","Data Infrastructure and Analytics","https://uk.linkedin.com/company/data-idols","https://media.licdn.com/dms/image/v2/C4E0BAQE0Rx8tLcL-HA/company-logo_100_100/company-logo_100_100/0/1663667568848/data_idols_logo?e=2147483647&v=beta&t=RnMYseJ-CJfy0cBBQavlrw_zYSxBk0XZ2nQ0mPdT9Ow","","","","","","","","","","",""
