job_number,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
1,linkedin,https://www.linkedin.com/jobs/view/4278235184,,Data Analyst,Data Idols,"London, England, UK",2025-08-05,fulltime,,,,,,False,entry level,Information Technology,,,"Data Analyst
   

  

  

  

 Salary: £70K \\- £80K
   

  

  

  

 Location: London \\- Flexible working
   

  


 Data Idols are working with a fast\\-growing, product\\-led tech company to hire a Data Analyst to join their growing team. This is a key role in the team and this person will directly impact their customers.
   

  




 The Opportunity
   

  


 The team this person is joining is playing a key role in the companies data journey. You will directly impact the customers by supporting the business with insights and self serve data tools. You'll be part of a company that takes data seriously, where your work has direct impact on product quality, decision making, and customer outcomes.
   

  




 Skills and Experience
   

  

* Strong experience working with Looker
* SQL
* Python
* dbt knowledge



 If you are looking for a new challenge, then please submit your CV for initial screening and more details.
   

  




 Data Analyst
   

  

  

**Desired Skills and Experience**
 Looker\\|SQL\\|dbt",Data Infrastructure and Analytics,https://uk.linkedin.com/company/data-idols,https://media.licdn.com/dms/image/v2/C4E0BAQE0Rx8tLcL-HA/company-logo_100_100/company-logo_100_100/0/1663667568848/data_idols_logo?e=2147483647&v=beta&t=RnMYseJ-CJfy0cBBQavlrw_zYSxBk0XZ2nQ0mPdT9Ow,,,,,,,,,,,
2,linkedin,https://www.linkedin.com/jobs/view/4280120622,,Data Analyst,Propel Finance,,2025-08-05,fulltime,,,,,,True,associate,Analyst and Finance,,,"Propel Finance was established in 1996 to provide flexible and accessible finance to SMEs across the country. Now, more than 20 years on, Propel has grown to become one of the UK’s largest, independent finance houses. We have continued to deliver leading\\-edge finance solutions through a unique combination of teamwork and technology.
 



  





 From this continued success we are now looking to recruit a
 **Data Analyst** 
 to allow us to continue our exciting growth plans.
 



  





 Our aim is to take the service we offer to the next level, to push the boundaries of what’s available, and to create great customer experiences consistent with our values. Does that sound like something you’d like to be part of?
 



  





 As a key member of our team, you’ll be responsible for translating business requirements into practical data models, reports, and dashboards that deliver real insights
 




  





**Role responsibilities;** 



* **Stakeholder Engagement:** 
 Collaborate with key stakeholders across the business to understand their data needs, gather requirements, and provide clear insights that drive decision\\-making.
* **Data Modelling \\& Analysis** 
 : Design, develop, and maintain scalable data models to ensure data quality and accuracy, utilising SQL and Azure Synapse where necessary.
* **Dashboard Development:** 
 Build and maintain visually compelling and interactive dashboards in Tableau
* **Performance Monitoring \\& Reporting:** 
 Create detailed reports on portfolio performance, profitability, risk, and compliance metrics, and deliver them to relevant stakeholders.
* **ETL \\& Data Pipelines:** 
 Work with Data Engineers to develop and optimise data pipelines for extracting, transforming, and loading (ETL) large datasets from various sources into relevant data structures.
* **Data Governance:** 
 Ensure data is consistent, reliable, and stored securely
* **Continuous Improvement** 
 : Drive process improvements in analytics, reporting, and stakeholder communication.



  





**Key skills required;** 



* Experience working in a similar role, preferably in Financial Services sector
* Excellent SQL skills including writing complex queries, optimising performance and managing large datasets
* Strong experience in data visualisation with Tableau or PowerBi and ability to build interactive dashboards



  





**So, why would you want to work here?** 




  





 We have a great working environment and we’re an ambitious business. We achieve so much because of our people. Everyone in the business, no matter their team or role can shape the outcome, share ideas, make suggestions, and have their voice heard. It’s a truly collaborative place to work.
 



  





 At Propel, we embrace hybrid working and with modern offices in Newport, London and Manchester, plus a field\\-based sales team, you’ll never be too far away from colleagues.
 



  





 This is a remote role, with 1 day in the Newport as required, on every once per quarter.
 



  





**Benefits you can expect:** 




  




* 25 days annual leave \\+ bank holidays
* 2 additional days holiday after 5 years’ service
* Birthday day off
* Opt in Private Medical Insurance
* Subsidised gym membership at £18\\.75 a month
* Cycle to Work Scheme
* Electric Car Scheme
* Buy Annual Leave Scheme
* Half day seasonal shopping
* Auto enrolment pension – 3% employer contribution subject to eligibility
* Life Assurance 3 x basic salary
* Employee Assistance Programme available 24/7
* Company events and reward schemes



  





 We are proud to be a member of Stonewall’s Diversity Champions programme and are committed to improving workplace inclusion.
 



  





 The Curve Group is Propel’s outsource partner for Recruitment and a ""Data Processor"". The Curve Group will hold the information you submit but Propel will have access to it. You can find their privacy policy here: https://www.thecurvegroup.co.uk/privacy\\-policy/",Financial Services,https://uk.linkedin.com/company/propelfinance,https://media.licdn.com/dms/image/v2/D4E0BAQGVfGiKfsUozw/company-logo_100_100/company-logo_100_100/0/1697023312824/propelfinance_logo?e=2147483647&v=beta&t=cbmnviN-sF9OfQsM3C83US_Qp6v6lyPEd7BDIJQ1MqA,,,,,,,,,,,
3,linkedin,https://www.linkedin.com/jobs/view/4277743606,,Data Analyst,Fanatics,"Manchester, England, UK",2025-08-05,fulltime,,,,,,False,entry level,Information Technology,,,"**Job Description**
* Job Title:
* Reporting to:


 Data Analyst
   

  

 General Manager
   

  

* Purpose of the Role:


 Responsible for sourcing, processing and analysing data in relation to operations in order to derive actionable insights and opportunity identification. This role is responsible for supporting the delivery of all core operational metrics, including but not limited to: cost, efficiency, service level delivery and inventory accuracy.
   

  

 This role will undertake a series of projects to improve data visibility and utilisation within the operation, to support the delivery of key projects and improvements. This role requires a basis in understanding of operational processes strength in numerical understanding and logical reasoning, as well as the technical skills require to acquire, process, manipulate and analyse large data sets.
   

  

* Duties / Responsibilities:
* Leveraging analytical thinking to draw actionable insights from a variety of data sources, including presentation to stakeholders and senior leaders
* Implement Data Visualisation software to create Operations Dashboards
* Building reporting dashboards as necessary across projects and key metrics
* Building numerical models for operational use, including but not limited to: performance reports, operational forecasting and planning
* Conducting data and process deep dives alongside operational leaders to unpick complex operational issues
* Knowledge / Skills / Experience:
* Operational experience required, D2C/Warehousing experience highly beneficial
* Experienced in the application of Python to support data analysis
* Advanced ability to write SQL and navigate large database architectures
* Advanced understanding and use of excel, including Macros, VBA
* Structured and thorough in approach to analysing and presenting data
* Highly experienced in the use of data visualisation tools such as Power BI, Tableauand similar
* Demonstratable experience in deriving actionable insights from large data sets
* Experience in a variety of analytical methods, including but not limited to: statistical analysis, processing mapping, regression analysis and hypothesis testing
* Experienced in the creation of PowerPoint presentations to share results, insights and performance with stakeholders
* Key Stakeholders:
* Operational Leaders
* Site Leadership team
* Internal customers including, but not limited to, tech, retail and events teams, eComm team and Branding and Merch","Technology, Information and Internet",https://www.linkedin.com/company/fanatics-inc-,https://media.licdn.com/dms/image/v2/D4E0BAQGxucH72bG6hw/company-logo_100_100/B4EZbPpbY8HwAQ-/0/1747240466631/fanatics_inc__logo?e=2147483647&v=beta&t=YKMQsg2IGNqz1wOgmFy_v-x4QnZ1xDGAk81-DgiTR8g,,,,,,,,,,,
4,linkedin,https://www.linkedin.com/jobs/view/4278221390,,Data and Reporting Analyst,Russell Tobin,"London Area, United Kingdom",2025-08-05,contract,,,,,,True,mid-senior level,Engineering,,,"**Distribution Channel Support Specialist** 




 💷
 **£45 £48 per hour (Inside IR35\\)** 
 \\|
 **12\\-month contract** 
 \\|
 **Hybrid – 3 days on\\-site, 2 days WFH** 




  





 We’re looking for a
 **detail\\-driven, tech\\-savvy data specialist** 
 to join our EMEA Distribution Channel team. In this role, you’ll transform complex sales and inventory data into clear, automated reports and dashboards that help our sales and marketing teams make smart, fast decisions.
 



  





**What you’ll do** 



* Gather data from multiple retailers and internal systems.
* Clean, validate, and connect data sources for accurate business tracking.
* Build automated, scalable dashboards and reports.
* Spot trends, patterns, and issues, then share actionable insights.
* Work closely with internal teams across EMEA, UK, and EU to support product distribution strategies.



  





**MUST HAVES** 



* **Proficiency in Google Tools and Coding**

 :
 
 Expertise in SQL language, Google Notebooklm, Looker and other Google\\-related tools such as Google Sheets, Google Data Studio, and Google BigQuery.
* **Data analytics – SQL experience
 
 \\-** 
 Strong ability to analyse complex data sets, identify patterns, trends, and insights that drive decision\\-making processes
* **Dashboard experience –**
 visualisation tools
* Experience creating data visualisations and dashboards.
* Excellent analytical skills and problem\\-solving ability.
* Able to work independently and explain data clearly to non\\-technical audiences.



  





**Nice to have:** 



* Experience in big tech or pharma.
* Familiarity with retail/distribution sales channels.
* Interest in AI tools for analytics.



  





 📩
 **Apply Now** 
 – If you’re an experienced Data Analyst with strong SQL and Google data tool skills, and you’re ready to help shape the future of product distribution across EMEA, send your CV today!",Software Development,https://www.linkedin.com/company/russell-tobin-&-associates-llc,https://media.licdn.com/dms/image/v2/D4D0BAQF_dG6EsGKqsw/company-logo_100_100/B4DZW4y5IjHIAQ-/0/1742562105684/russell_tobin__associates_llc_logo?e=2147483647&v=beta&t=nivcK0UGeTI_nSO-g4S9bBA4esuvsDJHY1LmiYakyeE,,,,,,,,,,,
5,linkedin,https://www.linkedin.com/jobs/view/4280133225,,Insights Analyst,Mr Fothergill's Seeds Ltd,"Kentford, England, UK",2025-08-05,fulltime,,,,,,False,associate,Strategy/Planning and Sales,,,"At Mr Fothergill's Seeds we are in the business of bringing gardens to life. Known for our exceptional range of seeds, garden products and horticultural expertise with well\\-known brands such as Mr Fothergill’s, Johnsons, DT Brown and Darlac our products can be found in garden centres, big retailers and direct to consumers through our websites and catalogues. We have a legacy of quality, a loyal customer base and are committed to inspiring and empowering gardeners of all levels.
 



  





 We are a passionate team with a strong can\\-do attitude. We show respect to one another and are keen to innovate on our respective areas of expertise. We value agility, understand the journey our business is on and strive to add our unique mark onto that journey. We work hard but don’t forget to have fun. Our company purpose is “Helping Everyone Grow” and we extend that purpose to everything we do.
 



  





 As
 **Insights Analyst** 
 you will play a critical
 
 role in supporting the commercial team with the interpretation of sales performance, market trends, and customer behaviour. This role will focus on leveraging internal and external data to deliver clear, actionable insights that inform business decisions, support strategic planning, and identify opportunities for growth within existing and potential retail accounts.
 



  





**Core Responsibilities:** 



* Develop and maintain reports and dashboards to track sales, category trends, and customer behaviour.
* Analyse multiple data sources (e.g. EPOS, internal systems, market data) to identify risks and growth opportunities.
* Produce clear, visual insights to support internal decisions and customer presentations.
* Provide data\\-driven recommendations for range reviews, pricing, and promotional effectiveness.
* Support sales proposals with accurate forecasts, pricing, and performance data.
* Respond to ad\\-hoc analysis requests from the Commercial Team, including investigations into product or performance issues.
* Collaborate with Sales, Marketing, Supply Chain, and Finance to ensure data alignment.
* Communicate insights effectively with internal stakeholders and external partners.
* Support admin tasks such as new product forms and pricing updates.
* Provide occasional cover for National Account Managers and attend trade shows to support commercial goals.



  





**We are looking for someone who** 
 has a strong analytical mindset and who are data driven. You will have gained your experience within an FMCG environment preferably within grocery or garden centre retail. You will also demonstrate:
 



  





 Essential:
 


* Ability to work with large data sets
* Proficiency in Microsoft Excel, PowerPoint, Power BI
* High level of numerical accuracy and attention to detail
* Excellent communication and interpersonal skills to explain complex data clearly
* Results\\-oriented, with a proactive and inquisitive approach to problem solving



  





 Desirable:
 


* Familiarity with FMCG retailer data and insight tools (e.g. Nielsen, IRI, Retail Link).
* Understanding of category management principles including range reviews, pricing strategy, and promotional planning.
* Experience with data visualisation tools



  





 The world of gardening should be accessible to all and it’s important that our teams reflect the diversity of our customers, ensuring that our products meet everyone’s needs. Therefore, we very much welcome applications from a diverse range of candidates regardless of background, gender, race, religious beliefs, disability, sexual orientation, or age. We’re ‘rooting’ for you!",Retail and Manufacturing,https://uk.linkedin.com/company/mr-fothergills-seeds-ltd,https://media.licdn.com/dms/image/v2/D4E0BAQGZb7E6VZFl9g/company-logo_100_100/company-logo_100_100/0/1739189913875/mr_fothergills_seeds_ltd_logo?e=2147483647&v=beta&t=lPT8y7qXzyUq6FqiGPM4JwrCGSYQay6_oc0KeYOcL7c,,,,,,,,,,,
6,linkedin,https://www.linkedin.com/jobs/view/4280700373,https://www.totaljobs.com/job/senior-data-analyst/billing-finance-limited-job105507712?WT.mc_id=A_RE_LNKORG_MP6_C21_0_TJ&adjust_t=1b376svt_1bh5dso4&adjust_campaign=A_RE_LNKORG_MP6_C21_0_TJ&urlHash=JtJM,Senior Data Analyst,Billing Finance Ltd,"Northampton, England, UK",2025-08-05,contract,,,,,,False,mid-senior level,Information Technology,,,"**About You.**
- Are you an experienced Data Analyst with experience of working within a Financial Services / Regulated setting?

* Do you have proven experience using data analysis tools such as SQL / PowerBI / LookerStudio?
* Would the idea of working for a company who are undergoing an exciting period of Transformation appeal to you?


**The Role.**
 Were now looking for someone to join us as a Senior Data Analyst.
   

  

 Youll be central in transforming our reporting landscape, enabling us to make smarter decisions, supporting regulatory submissions to the FCA, and will play a key part in our transition from Microsoft\\-based reporting systems to a Google Cloud ecosystem.
   

  

 Reporting to our Data Analytics Manager, youll be mentoring our Junior Analysts when required, helping to elevate the overall analytical capability of the team.
   

  

 Along with proven experience as a Data Analyst, youll be able to communicate complex data insights clearly to non\\-technical stakeholders and will be familiar with regulatory reporting requirements for the FCA. Youll be working closely with stakeholders in Finance, Operations, and Compliance to create robust, scalable reporting solutions and BI dashboards and ensuring data integrity during a time of significant change.
   

  

 Youll have experience in both report migration projects, and in monitoring and reporting on key performance indicators across complex and disparate data sets.
   

  

 Youre comfortable with working in Agile project environments and have deep experience in full data lifecycle of collecting, cleansing, analysing, communicating and presenting actionable insights.
   

  

 We need someone with strong problem\\-solving skills who can lead the design, development, and implementation of business\\-critical data reports and dashboards using LookerStudio and BigQuery.
   

  

**Day To Day, Youll Be Responsible For The Following**
* Supporting the transition from Microsoft\\-based tools to Google Cloud Platform (GCP) including migration and improvement of legacy reports
* Delivering robust and accurate data sets to support regulatory reporting to the FCA and internal audit functions
* Working closely with our Transformation Team to align data strategy with broader business initiatives
* Optimising processes to ensure metrics, reports and insights are delivered consistently to stakeholders with minimal manual intervention
* Leveraging coding best practices and sound techniques to ensure efficient execution of code against large datasets, ensuring code is repeatable, scalable, and well governed
* Diving into anomalies in trends and collaborate with key stakeholders to pinpoint root causes to drive change
* Communicating impact and importance of findings on the business and recommend appropriate course of action
* Ensuring data quality and governance practices are upheld, particularly in transformed data environments


**Why Join Us?**
 Were a values\\-driven business where your voice matters. Youll join a team that believes in collaboration, continuous improvement, and doing the right thingfor our customers, and each other.
   

  

**About Billing Finance.**
 Billing Finance is a family\\-owned vehicle financing Company based on the outskirts of Northampton. We focus on customers with non\\-standard credit profiles that may not fit the automated underwriting processes of other lenders. Our mission is to help get all our people, including customers and staff where they need to be by putting them at the heart of everything we do.
   

  

 We help people with non\\-standard credit profiles access vehicle finance, and as a small, ambitious company, youll see the direct impact of your work across the full customer journey.
   

  

 We offer meaningful benefits, flexibility, and a team that values getting things done.
   

  

**Our Values Are**
* We are responsible We are conscious of our impact on people and planet
* We care about you We are kind and compassionate with our customers and with each other
* We work with you We support financial wellbeing for our customers and the wider community


**Benefits**
 The successful candidate will not only have a successful and fulfilling career with us but will also receive a fantastic range of benefits:
   

  

* Discretionary bonus scheme
* Electric Vehicle salary sacrifice scheme
* Pension salary sacrifice scheme
* Private Medical
* Income Protection
* Hybrid working
* Employee Assistance Programme
* Annual £200 personal growth fund
* Paid volunteering days


 We currently have approximately 100 staff members, so if you want to join a Company that wants to make a difference then apply today!
   

  

**The Recruitment Process and How We Will Use Your Data.**
 The recruitment process will involve obtaining information and/or exchanging it with the following organisations to assist with our pre\\-employment checks prior to interview.
   

  

* Credit Reference Agencies to complete a soft credit check to understand your financial history
* CIFAS to check both National and Internal databases for fraudulent activity. The personal information we have collected from you will be shared with Cifas who will use it to prevent fraud, other unlawful or dishonest conduct, malpractice, and other seriously improper conduct. If any of these are detected, you could be refused certain services or employment. Your personal information will also be used to verify your identity.


 To complete these checks, you will be asked to provide your address history for the past six years, along with your full name and date of birth.
   

  

 We may also ask for proof of your right to work status or evidence of any qualification or experience prior to being offered employment. Further information on how we collect and use your data during the recruitment process can be found in our Recruitment Privacy Policy.
   

  

 Billing Finance is an equal opportunities employer, and we understand that for some candidates to perform their best they may need some reasonable adjustments. If we can make your application journey with us more suitable for you, please do let us know and we will endeavour to help.
   

  

 Location
   

  

 Northampton
   

  

 Department
   

  

 Credit Risk
   

  

 Job Title
   

  

 Senior Data Analyst
   

  

 Salary
   

  

 £45,000 \\- £55,000 per annum.
   

  

 City
   

  

 Northampton
   

  

 LNKD1\\_UKTJ",Marketing Services,https://www.linkedin.com/company/billing-finance-limited,https://media.licdn.com/dms/image/v2/D4E0BAQFmlNriMnGdLg/company-logo_100_100/B4EZfA5YWkHYAc-/0/1751287957640/billing_finance_limited_logo?e=2147483647&v=beta&t=1VBnHAIjMBtQIqxHyNU2x53wRTtY8cpGE0FAHme5isU,,,,,,,,,,,
7,linkedin,https://www.linkedin.com/jobs/view/4277720057,,Data Analyst,IFRS Foundation,"London Area, United Kingdom",2025-08-04,fulltime,,,,,,False,mid-senior level,"Information Technology, Finance, and Human Resources",,,"**Status** 
 : 6 month Fixed Term Contract
 



**Reports to:** 
 Global Payroll Manager
 



**Works with:** 
 Finance Team
 



**Job Purpose** 




 Finance team: The role is to support the payroll team in managing and improving data quality, reconciliation and reporting during a period of high operational demand. The role is essential for ensuring accurate payroll reporting, supporting the rollout of a Global Payroll Provider and preparing for upcoming compliance requirements.
 



  





**Principal accountabilities** 




***Data Cleansing \\& Validation***



* Clean, structure, and validate large payroll data to ensure accuracy and consistency (both for current operations and during the roll out of the Global Payroll provider).
* Identify and correct anomalies in payroll and accounting data
* Collaborate with Payroll, HR and Finance teams to ensure data alignment, particularly within the HiBob platform.



***Reconciliations***



* Perform regular reconciliations between payroll records and general ledger accounts.
* Investigate and resolve discrepancies in payroll transactions and accounting entries.



***Budget \\& Variance Analysis, Reporting***



* Assist in preparing payroll\\-related budget forecasts.
* Analyse actual payroll costs against budgeted figures and explain variances.
* Provide monthly variance reports with actionable insights.
* Maintain year\\-to\\-date payroll reports and audit packs.
* Support audits and compliance checks with accurate data and documentation.
* Respond to ad hoc data requests from senior management and external auditors.
* Assist in preparing data and reports for the mandatory payrolling of Benefits in Kind (BiKs) starting April 2026\\.
* Process optimisation \\- Identify inefficiencies in workflows and streamline payroll processes



***UAT Testing – Global Payroll Project***



* Lead testing and reconciliation during parallel runs for the Global Payroll Provider rollout.



**Skills And Attributes** 



* Proven experience in data analysis within payroll or finance.
* Strong Excel and data manipulation skills; experience with HiBob is a plus.
* Familiarity with payroll systems, accounting principles, and compliance requirements.
* Analytical mindset with attention to detail.
* Ability to work collaboratively across departments.
* Experience supporting audits and compliance processes is desirable.
* Strong communication and documentation skills.



  





**Essential** 




**Qualifications and experience** 



* Strong proficiency in Microsoft Excel, including advanced functions (e.g. pivot tables, lookups, data validation).
* Experience working with large datasets and performing data cleansing, transformation and validation.
* **Solid understanding of payroll processes, accounting principles, and financial reconciliations** 
 .
* Familiarity with HRIS and payroll systems (e.g. HiBob, Moorepay, Papaya, Justworks or similar platforms).
* Demonstrated ability to produce clear, accurate and insightful reports for stakeholders.
* Experience supporting audits and compliance reporting.
* Strong analytical and problem\\-solving skills with high attention to detail.
* Excellent communication and interpersonal skills, with the ability to collaborate across departments.
* Ability to manage multiple priorities and meet deadlines in a fast\\-paced environment.



  





**Preferred** 



* Experience working within a global or multi\\-country payroll environment.
* Experience participating in system implementations or UAT testing phases.
* Ability to document processes and create user\\-friendly guides



  





**Application Closing Date:** 
 22nd August 2025
 



 Please note that while we have a closing date for this application, we reserve the right to interview candidates and potentially close the role early should we find a suitable candidate before the closing date.
 



  





***Help shape the future of reporting for global financial markets***




 The IFRS Foundation is a public interest, not\\-for profit organisation that sets corporate reporting standards for the capital markets globally. IFRS Accounting Standards are required for use by more than 140 countries whilst IFRS Sustainability Disclosure Standards are rapidly becoming the global baseline for sustainability disclosures worldwide.
 



 We are a highly diverse and inclusive organisation. Our 350\\+ staff come from more than 45\\+ different countries and are united in supporting the mission of the Foundation to bring transparency, accountability and efficiency to capital markets worldwide. With offices in London, Frankfurt, Montreal, Tokyo, Beijing and San Francisco, the Foundation is truly a global standard\\-setter.",Accounting,https://uk.linkedin.com/company/ifrs-foundation,https://media.licdn.com/dms/image/v2/C560BAQFB3PtmGHSM3Q/company-logo_100_100/company-logo_100_100/0/1671466347376/ifrs_foundation_logo?e=2147483647&v=beta&t=TEgeddD7veIoMJCiWK7N08roXr-eozH0-on-Fhvd-3I,,,,,,,,,,,
8,linkedin,https://www.linkedin.com/jobs/view/4277693344,,Junior Data Analyst,Arthur Recruitment,"London Area, United Kingdom",2025-08-04,fulltime,,,,,,False,mid-senior level,Information Technology,,,"**Job Title:** 
 Junior Data Analyst (Power BI / SQL)
 



**Location:** 
 London (Hybrid – 2 days onsite)
 



**Salary:** 
 £45,000 \\+ Benefits
 



**Job Type:** 
 Full\\-Time, Permanent
 



  





**Are you a data\\-driven thinker using Power BI and SQL?** 




 Looking for a collaborative environment where you can make a real impact while continuing to grow your skills?
 



  





 We’re hiring a
 **Data Analyst** 
 to join a growing team within a dynamic and forward\\-thinking Insurance services company with a global footprint. Reporting directly to the Group Data Lead, you’ll play a hands\\-on role in developing high\\-quality dashboards, reporting tools, and data solutions used by internal stakeholders and external clients.
 



  





**What You’ll Be Doing:** 



* Build and maintain
 **Power BI dashboards** 
 , including
 **externally\\-facing reports** 
 for clients and underwriting teams
* Write SQL queries to
 **extract, transform and support backend reporting**
* Collaborate with internal teams to
 **gather requirements** 
 and translate them into insightful visualisations
* Develop KPI dashboards and static reports (Excel, PowerPoint) for strategic insights
* Support client rollouts and help onboard data\\-driven solutions



  





**Tech Stack \\& Tools:** 



* Power BI (including
 **Paginated Reports** 
 )
* SQL
* Excel \\& PowerPoint
* Familiarity with Microsoft Fabric is a bonus



  





**Ideal Candidate:** 



* **1 years of experience** 
 in a Data Analyst or Reporting Analyst role
* Solid experience with
 **Power BI** 
 and confident using
 **SQL**
* Strong communication skills – able to work with both technical and non\\-technical teams
* A proactive, delivery\\-focused mindset – someone who takes ownership of tasks
* Keen to learn and develop in a
 **non\\-hierarchical, supportive environment**
* Comfortable working with
 **small to mid\\-sized datasets** 
 (this is not a big data role)



  





**What’s on Offer:** 



* Competitive salary (up to £45K)
* Hybrid working – 2 days per week in a central London office
* A supportive team with mentorship from senior data professionals
* Exposure to global teams across Europe, the US, and Asia
* An inclusive, values\\-led culture with strong ethical foundations



  





 If you're excited about leveraging your Power BI and SQL skills in a meaningful way and want to be part of a forward\\-thinking, global environment — apply today!",Insurance,https://uk.linkedin.com/company/arthurfinancial,https://media.licdn.com/dms/image/v2/C4E0BAQHw0ABCOcOdtA/company-logo_100_100/company-logo_100_100/0/1668596923722/arthurfinancial_logo?e=2147483647&v=beta&t=EJ91OMpYqtMd2__rP-5mRLh5s1jew5JePw9SurxqcWU,,,,,,,,,,,
9,linkedin,https://www.linkedin.com/jobs/view/4279207407,,Data Analyst,Fortray Global Service Limited,"London Area, United Kingdom",2025-08-04,fulltime,,,,,,True,mid-senior level,Information Technology,,,"About Fortray
 



 Fortray is recognized as an IT Services, Training and Recruitment Consultancy based in London and Ireland and have presence in Pakistan as well. We specialize in IT cyber\\-Security, Cloud and IT Infrastructure, DevOps, Data Analytics, AI/ML, Project Management and much more.
 



 With Fortray you have an opportunity to work for a forward\\-thinking, progressive organization that is proud of its people, the development of those people drives its success and ensures customer focus and service. We are very keen on promoting from within to help push people who are looking to build on their careers.
 



 A unique opportunity also presents itself with the chance to work abroad. For those who wish, there is the prospect of relocating to one of the many countries our client operates in across the globe. An exciting new, opportunity has arisen within the data space with Fortray, we are on the hunt for a new Data Analyst to join our team.
 



  





 Job Title: Data Analyst
 



 Location: Fully Remote
 



 Must have a 2 to 3 Hours Backup, 22 to 24” Monitor with HDMI Cable, Table, Chair and Quite place to work.
 



 Timings:
 



 · Monday to Friday: 9 AM to 6 PM BST
 



 About the Role
 



 Position Responsibilities:
 



 · Escalating faults to project team and vendors ensuring they are dealing with any issues in a timely manner
 



 · Providing support to network services and dealing with any network faults
 



 · Up to 3rd level support for faults and change requests
 



 · Ensure cases are documented well
 



 · Involved in delivering projects and solutions
 



 · Deploy, improve and modify network configuration including firewalls and switches as required by the business needs
 



 · Assist the Network Analyst, Service Ops team and Engineering teams with escalated problems
 



 · Identify opportunities to improve our service to our customer base, so that SLA's are exceeded, and customer feedback is consistently high
 



 · Helping colleagues both within and outside of the Engineering team for any issues related to our application and platforms
 



 · Improve on existing systems and capacity monitoring
 



 · Adhere to all internal processes (change/incident/problem etc) as set out by the IT department
 



 · Ensure all aspects of the system are adequately documented and reviewed
 



  





  





 Qualification:
 



 · Network troubleshooting skills.
 



 · Hands on experience with VLAN tagging, DHCP, DNS, TCP, UDP, and IP Services (DIA, VPN, CPE, DSL).
 



 · Network multi\\-vendors and CLI troubleshooting experience.
 



 · Understanding of remote access and remote\\-control computer software.
 



 · CCNA certification or equivalent is preferable.
 



 · Strong attention to detail and accuracy.
 



 · Excellent communication and people skills.
 



 · Excellent communication skills and the ability to engage at all levels internally and externally
 



 · Positive contribution to the team atmosphere
 



 · Ability to multitask and work under pressure.
 



 · Honesty, sincerity, and a strong work ethic
 



 · Comfortable working with UK hours
 



 · Have basic amenities such as high\\-speed internet, a laptop, and noise\\-cancelation headphones.
 



 Benefits:
 



 · Employee Benefits Programme",IT Services and IT Consulting,https://uk.linkedin.com/company/fortray-global-services,https://media.licdn.com/dms/image/v2/C4E0BAQH3iaTmrVTX8w/company-logo_100_100/company-logo_100_100/0/1631027166346/fortray_global_services_logo?e=2147483647&v=beta&t=CQrA6FsZLD9mEm69KJpHHbUjtb5O956VF1XYAl9_nYI,,,,,,,,,,,
10,linkedin,https://www.linkedin.com/jobs/view/4274635262,,Senior Data Analyst,Wave Talent,"London Area, United Kingdom",2025-08-04,fulltime,,,,,,False,mid-senior level,Information Technology and Analyst,,,"💻
 **Job Title:** 
 Senior Data Analyst
 



 💰
 **Salary:** 
 £65\\-70k (\\+ equity, private healthcare)
 



 📍
 **Location:** 
 Chancery Lane (2 office days/week)
 



 💵
 **Industry:** 
 FS / AI
 



  





 An AI intelligence platform is looking for a Senior Data Analyst, ready to take their career to the next level 📊
 



  





 Reporting directly to the Head of Data, you'll be coached and mentored by an experienced data leader, helping you develop at an accelerated pace. You'll be working alongside another (less experienced) Data Analyst and expected to lead by example. As soon as you're ready, you'll be encouraged to take over line management responsibilities \\- and likely add another headcount to your team end of this year/beginning of next.
 



  





 In this role, you will work with stakeholders across the business on their data needs, build out an internal self\\-serve data analytics platform, automate business processes and own the internal
 



 data analytics processes. The ideal candidate will have a proven track record of dealing with
 



 business stakeholders, working with SQL, building dashboarding solutions and leveraging tools
 



 like Google BigQuery for analytics.
 



  





**✅ Must have requirements:** 



* Strong proficiency in SQL
* Experience with dashboarding and BI tools (Tableau, Looker, PowerBI, Omni etc.)
* Experience managing and maintaining analysis ready datasets
* High attention to detail especially in terms of data quality and governance
* Great communication skills and stakeholder management skills
* Familiarity with cloud infrastructure



  





**👍 Bonus points for experience with:** 



* Python
* GCP
* Google Apps Script / Javascript
* Working in small, fast\\-paced and scaling environments



  





**🛂 Please note** 
 : unfortunately, this role
 **does not**
 offer VISA sponsorship.","Data Infrastructure and Analytics, Information Services, and Financial Services",https://uk.linkedin.com/company/wave-talent,https://media.licdn.com/dms/image/v2/D4E0BAQEhMdGS-K6ZDw/company-logo_100_100/company-logo_100_100/0/1707219726553/wave_talent_logo?e=2147483647&v=beta&t=4DTbpA5syygX2ZzFDELhyTvsDrJptHsHvR39VIRPSuo,,,,,,,,,,,
